Domain,Domain Rating,Ref domains Dofollow,Linked Domains,TrustFlow,CitationFlow,TopicalTrustFlow_Topic_0,TopicalTrustFlow_Value_0,TopicalTrustFlow_Topic_1,TopicalTrustFlow_Value_1,TopicalTrustFlow_Topic_2,TopicalTrustFlow_Value_2,LD:RD Ratio,TF:CF Ratio,Total Traffic
https://ultralightoutdoorgear.co.uk/,54,4673,97,25,42,Shopping/Recreation,25,Sports/Water Sports,21,Sports/Cycling,19,0.02,0.6,75648
https://www.muule.fr/,30,2988,86,25,33,Sports/Running,25,Recreation/Climbing,19,Recreation/Travel,14,0.03,0.8,1491
https://www.vestilanatura.it/,42,3044,3,0,24,,,,,,,0.00,0.0,14878
https://scandinavianoutdoor.fi/,63,1408,544,50,46,Shopping/Recreation,50,Recreation/Scouting,23,,,0.39,1.1,115624
https://www.thegoodgoods.fr/,67,3194,1745,22,40,Computers/Programming/Languages,22,Business/Financial Services,18,Shopping/Clothing,15,0.55,0.6,40721
https://www.boundfornowhere.com/,33,230,297,22,27,Recreation/Outdoors,21,Recreation/Autos,19,Shopping/Vehicles,15,1.29,0.8,1740
https://www.wamu.cz/,27,160,19,24,37,Home/Consumer Information,24,Business/Consumer Goods and Services,20,Shopping/Toys and Games,17,0.12,0.6,629
https://www.halonen.fi/,29,798,6,10,28,Sports/Hockey,10,Regional/Europe,8,Computers/Companies,7,0.01,0.4,81935
https://www.eventyrsport.se/,28,139,243,33,33,Shopping/Recreation,31,Business,30,Recreation/Scouting,23,1.75,1.0,22407
https://johannaleymann.se/,32,186,420,21,25,Business/Environment,21,Reference/Education,12,,,2.26,0.8,945
https://losano.com/,12,415,64,11,33,Business/Construction and Maintenance,10,Shopping/Home and Garden,9,Home/Consumer Information,9,0.15,0.3,1625
https://blacksmithint.com/,27,257,236,1,28,Recreation/Travel,1,Health/Medicine,1,,,0.92,0.0,69
https://knowingfabric.com/,35,232,26,18,32,Arts/Crafts,18,,,,,0.11,0.6,2
https://gearjunkie.com/,77,23668,19393,29,47,Sports/Running,27,Sports/Winter Sports,26,Shopping/Vehicles,25,0.82,0.6,208289
https://riverandtrail.ca/,11,136,160,20,28,Recreation,20,Business/Consumer Goods and Services,14,,,1.18,0.7,1165
https://eaglesnestoutfittersinc.com/,66,3753,248,32,44,Sports/Water Sports,30,Recreation/Travel,28,Business,26,0.07,0.7,45177
https://www.gearx.com/,57,12070,355,54,43,Shopping/Recreation,54,Sports/Cycling,27,Recreation,26,0.03,1.3,29087
https://www.bluesign.com/,77,3887,89,44,42,Regional/Europe,42,Business/Consumer Goods and Services,34,Business/Textiles and Nonwovens,32,0.02,1.0,3729
https://de.wikipedia.org/,93,575557,891084,50,57,Regional/Europe,39,Society/Politics,38,Reference/Maps,38,1.55,0.9,296000000
https://www.voguebusiness.com/,83,20378,3297,36,52,Arts/Design,33,Business/Publishing and Printing,32,Computers/News and Media,24,0.16,0.7,68897
https://sustonmagazine.com/,37,557,453,18,31,Recreation/Outdoors,18,Sports/Cycling,12,Sports/Water Sports,12,0.81,0.6,372
https://ethixmerch.com/,42,617,371,48,35,Business/Marketing and Advertising,48,Society/Issues,24,,,0.60,1.4,1912
https://luckeapparel.com/,1.8,27,69,0,24,,,,,,,2.56,0.0,6
https://textileexchange.org/,83,9586,4377,60,47,Business/Textiles and Nonwovens,60,Shopping/Pets,35,Business/Consumer Goods and Services,29,0.46,1.3,27763
https://chemsec.org/,72,2511,472,26,43,Business/Textiles and Nonwovens,25,Science/Environment,23,Society/Issues,22,0.19,0.6,3319
https://www.green-sail.com/,36,212,154,39,39,Recreation/Travel,39,Sports/Walking,22,Business/Transportation and Logistics,18,0.73,1.0,190
https://utopia.de/,80,25293,12943,30,50,Business/Food and Related Products,27,Regional/Europe,26,Science/Environment,24,0.51,0.6,2236186
https://uponmylife.de/,26,479,714,4,34,Home/Home Improvement,4,Society/People,3,Business/Textiles and Nonwovens,3,1.49,0.1,59878
https://www.bergzeit.de/,71,5196,970,61,46,Shopping/Recreation,61,Recreation/Outdoors,34,Recreation/Climbing,31,0.19,1.3,577091
https://www.bergfuchs.at/,45,1017,188,54,44,Regional/Europe,54,Arts/Movies,24,Recreation,22,0.18,1.2,27779
https://ecobnb.it/,51,1656,2447,24,51,Recreation/Travel,24,Business,16,Reference/Education,16,1.48,0.5,20587
https://www.ilvestitoverde.com/,23,733,137,7,27,World/Italiano,7,Society/Organizations,5,Business/Investing,5,0.19,0.3,1624
https://www.randonner-malin.com/,52,2036,1025,29,40,Home/Family,27,Recreation/Models,26,Regional/Europe,24,0.50,0.7,2913
https://taternikblog.pl/,11,205,10,15,26,Computers/Internet/Searching,15,Recreation/Travel,8,Business/Marketing and Advertising,8,0.05,0.6,554
